order_id;customer;amount;placed_on;note
1;customer-1;294.83;2026-07-02;
2;customer-2;140.01;2026-07-03;
3;customer-3;587.59;2026-07-04;
4;customer-4;69.83;2026-07-05;
5;customer-5;484.61;2026-07-06;
6;customer-6;332.29;2026-07-07;
7;customer-7;56.91;2026-07-08;"gift; fragile"
8;customer-8;459.15;2026-07-09;
9;customer-9;38.56;2026-07-10;
10;customer-10;393.11;2026-07-11;
11;customer-11;67.52;2026-07-12;
12;customer-0;86.19;2026-07-13;
13;customer-1;384.94;2026-07-14;
14;customer-2;745.03;2026-07-15;"gift; fragile"
15;customer-3;115.8;2026-07-16;
16;customer-4;204.8;2026-07-17;
17;customer-5;566.55;2026-07-18;
18;customer-6;853.2;2026-07-19;
19;customer-7;521.51;2026-07-20;
20;customer-8;360.03;2026-07-21;
21;customer-9;878.75;2026-07-22;"gift; fragile"
22;customer-10;46.69;2026-07-23;
23;customer-11;773.33;2026-07-24;
24;customer-0;264.2;2026-07-25;
25;customer-1;134.11;2026-07-26;
26;customer-2;110.42;2026-07-27;
27;customer-3;281.09;2026-07-28;
28;customer-4;735.43;2026-07-01;"gift; fragile"
29;customer-5;166.75;2026-07-02;
30;customer-6;525.53;2026-07-03;
31;customer-7;576.83;2026-07-04;
32;customer-8;338.3;2026-07-05;
33;customer-9;495.23;2026-07-06;
34;customer-10;61.2;2026-07-07;
35;customer-11;58.34;2026-07-08;"gift; fragile"
36;customer-0;189.33;2026-07-09;
37;customer-1;613.96;2026-07-10;
38;customer-2;387.7;2026-07-11;
39;customer-3;286.16;2026-07-12;
40;customer-4;529.08;2026-07-13;
41;customer-5;410.6;2026-07-14;
42;customer-6;273.29;2026-07-15;"gift; fragile"
43;customer-7;715.97;2026-07-16;
44;customer-8;630.6;2026-07-17;
45;customer-9;223.47;2026-07-18;
46;customer-10;519.11;2026-07-19;
47;customer-11;475.05;2026-07-20;
48;customer-0;788.25;2026-07-21;
49;customer-1;657.85;2026-07-22;"gift; fragile"
50;customer-2;262.7;2026-07-23;
51;customer-3;882.26;2026-07-24;
52;customer-4;110.67;2026-07-25;
53;customer-5;379.22;2026-07-26;
54;customer-6;682.64;2026-07-27;
55;customer-7;141.03;2026-07-28;
56;customer-8;442.62;2026-07-01;"gift; fragile"
57;customer-9;40.09;2026-07-02;
58;customer-10;603.05;2026-07-03;
59;customer-11;689.29;2026-07-04;
60;customer-0;517.86;2026-07-05;
